node,rtt_latency,r2n_latency,n2r_latency,rssi,radio_rx_energy_mj,radio_tx_energy_mj,cpu_energy_mj,throughput1,throughput2
fd00::202:2:2:2,4620.7,8647.61,284.07,-63.8,8.68,1.05,19.63,5.41,14.31
fd00::203:3:3:3,2776.94,3860.56,1642.51,-78.66,20.52,1.61,27.44,8.91,55.15
fd00::204:4:4:4,4446.53,6023.02,3616.04,-53.99,74.92,2.85,43.06,6.74,30.72
fd00::205:5:5:5,5541.35,7331.88,4317.96,-78.13,94.18,0.28,48.03,17.49,29.18
fd00::206:6:6:6,7112.86,8838.4,4374.25,-71.46,324.64,0.19,54.57,9.35,13.67
fd00::207:7:7:7,2583.34,3705.73,1442.4,-89.45,22.62,3.27,38.48,4.36,46.79
fd00::208:8:8:8,5208.1,6673.13,4087.01,-57.48,27.73,0.43,22.39,1.04,2.52
fd00::209:9:9:9,6749.27,9716.42,3865.76,-75.33,59.49,0.32,28.09,1.37,3.0
fd00::20a:a:a:a,7412.35,11101.46,4807.97,-63.95,334.76,0.31,60.06,4.46,7.97
fd00::20b:b:b:b,7533.49,9817.52,5277.64,-64.98,350.75,0.27,58.26,10.14,14.78
